ItemLabels,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020
Yam tuberBAUCHI,135.44,151.6,121.33,152.52,176.01,106.33,148.91,126.35,139.99,142.7,153.88,155.32,140.96,130.46,132.44,183.21,216.52,234.31,232.54,316.1,254.96,155.37,133.5,147.37,167.62,153.33,128.44,135.31,140.28,140.65,133.74,142.37,151.13,127.62,138.65,129.58,119.38,124.34,129.63,138.93,150,124.21,142.07,158.56,141.62,160.2,173.38,172.93,157.93,140.35,131.62,160.76
Agric eggs medium size JIGAWA,335.45,336.67,335.5,351.33,350.15,385.13,375,361.67,576.28,497.55,447.39,446.36,556.35,524.09,584.71,524.55,529.38,528.57,485.89,404.67,429.44,425,428,476.67,410.13,458,478.46,486.15,527.33,530.67,473.85,445,461.67,500,460,425.43,460,433.53,428.75,471.43,465.71,495.71,465.71,443.21,446.79,448.75,466.43,467.62,441.43,440,415,466.67
Agric eggs(medium size price of one)JIGAWA,30.38,29.17,28.92,30,30,33.27,32.61,31.67,47.01,41.26,38.75,39.55,48.28,48.33,48.75,45.64,48.93,46.33,42.98,37.44,37.5,37.33,38,38.57,37.35,36.67,36.92,36.54,39.33,40.59,39.62,37.33,40,40.59,40.59,37.69,40.92,39.71,40,40.64,39.64,39.64,39.64,39.64,39.64,37.19,40.71,39.95,37.79,,36,39.33
"Beans brown,sold looseJIGAWA",163.23,197.56,276.67,198.1,213.04,203.33,262.98,269.23,180.88,194.59,200,233.89,241.19,335,353.37,345.64,346.67,353.1,386.67,326.64,389.49,336.64,320,350.83,332.14,330.07,353.33,370,398.6,398.76,409.75,400,400,381.76,381.76,350,350,342.65,332.19,340,340,340,340,302.02,302.9,313.86,306.24,283.39,246.67,211.54,239.49,265.13
Beans:white black eye. sold looseJIGAWA,124.53,148.37,149.77,216.51,189.27,200.7,257.71,225.84,235.48,213.11,208.13,200,243.89,256.67,283.55,279.92,291.32,283.86,322.52,278.09,333.93,308.09,302.52,289.68,265.67,277.1,304.9,313.14,346.74,355.65,408.54,398.2,358.01,328.53,331.14,384.59,384.59,374.96,356.53,299.18,316.68,299.18,263.54,239.58,249.58,289.22,252.24,253.5,241.2,198.55,142.91,184.7
Beef Bone inJIGAWA,896.32,897.3,868.4,1018.61,836.44,902.04,1100.59,933.95,1040,974.82,993.75,870.04,1054.48,1016.04,1094.37,1071.57,1068.25,1079.57,1073.91,953.3,947.31,895.92,878.21,1038.88,933.53,925.04,938.64,844.03,878.75,885.98,904.53,1088.3,1050.91,1030.95,1079.3,1036.6,996.77,980.95,999.73,998.29,1020.86,951.4,912.97,955.68,961.51,927.52,888.9,864.8,867.68,907.78,880.98,969.93
"Beef,bonelessJIGAWA",1072.22,1073.4,1032.48,1052.9,1013.73,1039.33,1107.53,1120.83,1431.69,1388.38,1153.24,1136.93,1213.03,1245.43,1291.06,1142.59,1273.33,1250.71,1262.02,1137.21,1264.61,1184.12,1183.33,1213.64,1282.68,1200,1175.41,1243.4,1208.28,1247.28,1101.46,1231.74,1222.89,1147.28,1147.28,1171.76,1158.18,1238.1,1226.46,1210.23,1178.4,1126.89,1156.89,1157.34,1167.34,1229.32,1196.14,1161.36,1173.43,1173.33,1142.08,1238.02
Bread sliced 500gJIGAWA,131.79,216.88,241.67,212.5,220,220,250,200,257.84,210.23,317.5,201.25,223.33,260.83,252.22,236.67,231.11,280,255.56,229,249,229,235,237.5,307.78,296.67,242.22,226.36,217.78,220,235,238.89,231.25,260,260,223.33,223.33,232.5,222.22,237.5,230,236.25,230,256.25,256.25,245.38,236.25,257.69,243.75,233.33,212.5,275
Bread unsliced 500gJIGAWA,133.33,285.71,225,151.67,135.48,315,300,157.22,245.07,203.97,370.54,181.81,222.25,205,226.15,238,232.73,238.33,235.53,224,223.57,214,220,243.33,285.13,268.33,213.08,224.17,227.69,244.67,274.62,266.67,222,230.67,248.75,220,220,212.14,220.63,218.18,221.82,281.82,281.82,237.85,227.86,277.06,257,246.84,260,208.33,200,247.69
Broken Rice (Ofada)JIGAWA,175.14,171.31,195.84,289.07,238.22,281.32,341.72,306.18,306.18,327.43,305.4,292.55,358.43,305.59,342.9,306.77,317.45,335.11,326.28,298.47,358.64,298.47,298.47,249.21,251.64,247.7,258.96,259.68,262.93,259.13,279.75,251.42,265.69,259.13,259.13,289.95,295.75,343.61,350.24,365.41,371.09,364.92,376.36,351.73,351.91,327.28,301.09,273.41,312.76,269.96,282.04,325.06
Catfish (obokun) freshJIGAWA,999,1000,933.34,927.69,928.34,954.55,993.59,938.47,846.09,865.46,895.38,883.89,957.54,861.54,826.44,929.89,857.49,850,884.95,876.93,868.38,916.92,916.67,885.94,905.49,906.13,955.56,833.33,900,1067.21,900,1007.5,960,1067.21,1067.21,996.32,960.93,943.48,928.67,933.33,925,883.33,853.33,894.61,924.62,922.22,873.33,890,889.23,890,889.74,950
Catfish :driedJIGAWA,1849.28,1979.17,1931.82,1667.87,1787.5,1893.75,1825,1644.23,1675.94,1898.04,1900,1793.71,1732.85,1976.93,1750,1800,1767.69,1701.93,1666.67,1619.23,1601.42,1619.23,1640,1732.8,1791.21,1792.46,1672.12,1701.93,1699.14,1561.36,1581.82,1606.14,1593.94,1552.96,1558.42,1600,1640.56,1633.33,1651.03,1670,1653.33,1580.23,1550.23,1500,1478.29,1430.28,1453.85,1450.85,1443.25,1450.8,1448.29,1500
Catfish SmokedJIGAWA,1789.81,1889.81,1750,1755.08,1760.16,1765.24,1770.32,1775.4,1780.48,1785.56,1790.64,1795.72,1561.07,1951.55,1754.9,1676.47,1693.22,1750,1753.81,1720,1703.28,1700,1700,1732.62,1600,1528.57,1471.43,1464.29,1500,1500,1510.05,1602.78,1500,1500,1350,1400,1492.35,1500,1515.95,1500,1500,1500.2,1475.61,1500,1500.03,1485.02,1500,1500,1490.16,1500,1496.71,1510.03
Chicken FeetJIGAWA,548.03,548.63,762.5,600,766.67,593.75,566.67,292.39,1027.98,864.79,708.33,767.24,1085.05,712.5,718.75,770.83,781.25,850.67,815.96,610.72,656.15,635.71,650,500,562.5,574,576.67,603.33,666.67,681.82,689.09,658.28,716.67,650,620,600,600,601.3,600,655,625,600,525,558.74,550,500,500,500,475,500,500,550
Chicken WingsJIGAWA,466.67,467.18,500,522.5,644.98,650,650,650,1111.71,866.69,800,750,946.13,875,820,861.51,860,984.64,922.32,890,960,954,930,650,683.33,675,750,712.5,700,700,703.07,700,790.91,785.71,735,600,600,625,631.02,675,675,675,650,597,600,670,707.14,700,701.29,700,700,766.67
Dried Fish SardineJIGAWA,1298.99,1301.72,1304.45,1300,1300,1325.67,1320,1360.72,1369.9,1373.57,1376.46,1325,1367.29,1368.13,1350,1350.5,1356.38,1350,1375.83,1367.32,1350,1321.14,1250,1303.33,1350,1375,1350,1260,1304.76,1353.23,1331.6,1329.58,1330.59,1403.23,1403.23,1566.67,1666.67,1700,1712.03,1750,1705.01,1625.3,1598.3,1605.11,1580,1533.33,1500,1500,1489.03,1500,1496.33,1551.45
Evaporated tinned milk carnation 170gJIGAWA,105,112.5,106.25,120,105,111.67,112.5,110,124.8,121.98,148,118.33,131.39,148.33,148.57,140,148.57,155,151.67,152.5,170,152.5,155,170,170.71,156.67,155,147.14,146.67,148.33,150,145.56,145,148.33,148.33,157.5,167.5,140,146.67,160,160,160,160,152.5,162.5,144.44,150,133.33,145.03,140,136.67,150
"Evaporated tinned milk(peak), 170gJIGAWA",132.5,131.29,134.55,135.83,137.08,130,137.08,137.92,120,120,143.33,144.25,150,165.45,181.88,192.27,191.43,191,187.86,185,206.47,185,181.82,170,183.53,173.33,172,170,167.5,167.06,163.85,166.56,162,157.06,157.06,163.75,162.86,182.94,187.37,190,186,190,189.35,151.53,171.67,161.33,163.85,162.53,176.43,164.29,161.67,187.14
Frozen chickenJIGAWA,900,1100,1200,1025,1000,1200,1100,1200,1004.3,1009.79,1010.91,1100,1249.26,1200,1300.9,1500,1550,1600,1550,1490.09,1466.67,1400,1300,1200,1100,1200,1300,1100,1166.67,1144,1205,1125,1125,1140,1200,1500,1500,1685,1702.38,1790,1780,1800,1850.14,1810,2000.31,2450,2400,2366.67,2300,2250,2300,2350
"Gari white,sold looseJIGAWA",115.92,115.81,133.58,123.22,152.47,176.02,256.71,276.6,205.42,199.19,197.29,185.98,250.29,261.11,248.7,270.83,283.29,291.55,294.04,296.61,296.18,229.6,213.96,225.05,199.14,200.15,196.12,200.65,203.07,255.95,265.75,271.05,258.55,255.95,252.33,177.87,177.87,172.79,184.68,180.62,170.62,150.62,150.67,134.28,168.4,166.82,144.14,137.36,152.78,163.71,141.76,183.33
"Gari yellow,sold looseJIGAWA",125.51,129.38,142.46,148.34,181.21,194.81,282.45,293.37,209.69,201.64,245.19,207.37,269.91,269.04,276.7,288.4,302.6,328.59,331.84,285.44,289.27,255.44,237.06,248.61,239.01,213.61,244.71,243.66,253.92,256.75,251.63,235.7,273.08,256.75,254.45,211.73,211.73,198.97,181.01,184.96,188.6,144.96,134.96,133.12,133.13,153.41,172.48,177.76,180.62,191.46,199.76,206.23
"Groundnut oil: 1 bottle, specify bottleJIGAWA",323.55,342.77,345.6,365.1,397.22,454.35,477.22,474.22,453.75,480.8,517.66,554.69,534.22,547.77,540,535,550,589.29,585.45,579.33,522.7,590.17,585,434.29,478.33,489.52,500,503.33,491.67,519.11,532.31,520,536.67,519.11,519.11,453.33,434.87,465.19,459.33,414.29,404.76,400.37,405.48,456.15,466.15,457.92,497.33,514.59,509.52,544.44,511.52,576
Iced SardineJIGAWA,691.27,686.36,660,656.25,675.75,692.95,670,680,701.92,701.8,683.33,761.11,755.95,697.89,757.14,766.67,740.93,795.55,727.56,720.8,700,700,747.01,566.67,707.38,856.25,855.56,870.74,888.69,834.98,839.47,830.56,855.77,849.58,834.98,911.11,912.35,900,895,887,875,900,875,857.94,884.62,900,875,883.33,892.04,860,878.35,907.14
Irish potatoJIGAWA,162.46,163.02,163.15,161.02,162.82,163.44,165.01,165.41,165.13,166.9,165.22,166.62,168.9,167.68,165.98,168.97,169.46,170.55,171.92,171.79,165.46,157.9,151.1,217.96,199.58,185,174.37,159.79,203.7,227.36,216.32,217.01,206.64,227.36,307.36,219.32,212.82,242.42,235.84,277.68,267.68,197.68,192.68,202.2,182.2,200.73,199.85,190.64,193.01,188.94,250.48,283.89
Mackerel : frozenJIGAWA,750,700,718.18,703.33,753.01,760.72,875,954.55,803.84,814.58,750,788.89,799.58,964.29,765,791.07,705.79,931.58,933.34,905.2,895.24,955.2,955.2,852.32,908.33,1050,1030.77,969.23,1100,989.09,1020,950,918.18,909.09,909.09,862.12,884.09,818.18,829.09,900,895,885.71,900,900,900.85,930,950,964.62,953.85,900,858,900.85
Maize grain white sold looseJIGAWA,73.48,77.72,77.1,89.51,98.56,110.62,132.18,130.76,144.69,133.92,135.44,146.7,140.05,157.01,157.84,154.48,168.7,161.44,183.97,200.96,175.96,181.68,170.12,197.64,190.2,170,153.96,145.37,131.13,122.42,120.7,112.05,115.96,125.73,121.66,102.95,116.86,101.83,97.78,96.63,108.79,103.61,99.19,89.47,89.88,107.05,104.49,92.18,105.76,127.76,98.11,132.88
Maize grain yellow sold looseJIGAWA,73.68,73.74,82.36,91.53,98.7,101.08,100,100,117.01,125.42,126.19,133.23,134.96,154.91,161.68,156.77,142.9,164.42,181.19,207.6,138.44,164.66,160.63,200.47,197.71,180,164.58,164.91,172.87,186.78,171.79,154.33,116.26,126.78,125.8,103.51,89.94,92.35,89.04,96.09,104.64,97.47,90.08,84.98,85,96.83,96.76,100.84,112.48,146.26,101.36,118.01
Mudfish (aro) freshJIGAWA,797.06,1450,850,868.75,1166.67,989.56,1166.67,1104.17,1158.89,1037.16,926.93,993.59,1021.78,961.54,963.33,970,1076.92,1080,1189.56,1058.34,1058.97,958.33,930.7,897.14,1016.67,1153.85,1142.86,1153.85,1246.67,1298.49,1333.33,1363.64,1307.69,1128.49,928.49,1076.92,1076.92,1007.69,995.85,988.81,970.81,900.81,870.81,913.2,900.15,866.67,919.05,920,938.46,920,926.11,953.85
Mudfish : driedJIGAWA,616.67,650,700,716.67,950,1063.64,1066.67,1060,1099.83,1122.49,1000,1111.11,1201.63,1363.64,1353.85,1355,1363.64,1370,1380.95,1476.93,1400,1385.26,1385.26,1266.67,1315.79,1316.71,1200.33,1277.61,1303.98,1282.88,1282.25,1306.97,1294.55,1200.3,1200,1296,1272.35,1300,1312.21,1400,1402.31,1392.13,1352.09,1382.01,1365.89,1300,1250,1250,1300.16,1276.92,1275.53,1286.25
Onion bulbJIGAWA,100.81,102.66,146.04,192.7,106.91,127.52,193.16,138.36,158.07,117.23,199.08,190.61,193.58,142.35,144.86,130.36,125.52,133.38,145.53,119.89,134.08,119.89,125.9,202.48,152.61,152.8,150.58,150.63,159.84,162.63,151.74,159.27,172.27,162.2,148.01,123.65,213.65,210.33,192.94,195.88,178.77,104.38,94.38,118.82,108.82,139.62,121.59,155,166.84,206.39,196.2,197.82
"Palm oil: 1 bottle,specify bottleJIGAWA",280.81,292.22,308.02,323.54,331.11,348.2,382.77,367.27,408.52,434.01,451.66,451.36,427.07,473.33,467.39,549.97,497.19,499.45,510.9,489.44,460.63,500.19,458.52,491.43,471.37,469.33,464,472.38,465.83,475.29,446.15,473.85,452.5,475.29,475.29,425.05,443.81,426.67,429.8,448.21,425.87,448.21,448.21,435.55,436,450.67,480,452.73,415.38,464.44,496.97,479.05
Plantain(ripe)JIGAWA,158.24,161.89,165.63,169.46,173.37,177.38,181.47,185.67,201.68,214.26,219.21,224.28,218.02,223.05,228.2,233.48,230.92,236.26,241.72,250,221.26,236.61,236.61,333.33,300,300.21,265.35,288.52,300,337.7,397.87,381.39,389.55,350,350,265,304.04,261,255,209,198.65,189.32,180.22,189.25,185.26,200,200,200,198.08,233.33,209.87,255
Plantain(unripe)JIGAWA,180,187.5,191.83,196.26,200.79,205.43,210.18,215.03,233.11,257.36,263.31,269.39,202.2,206.87,211.64,216.53,252.12,257.95,263.91,200,233.41,258.33,258.33,363.64,280,280.2,200,200,247.7,232,237.69,247.12,242.36,232,232,255,239.28,213.01,201.12,199.2,201.37,194.02,185.21,193.42,187.92,207.69,210,210.5,201.89,200,204.08,211.12
Rice agric sold looseJIGAWA,142.31,166.93,172.62,190.8,203.48,196.25,205.33,242.49,228.56,229.01,232.15,257.67,233.11,262.5,268.38,250,283.93,301.95,292.94,241.07,246.89,211.07,205,196.43,238.83,229.55,258.93,236.24,255.58,288.38,256.07,242.86,261.26,268.38,288.38,214.29,252.32,249.12,250.18,267.86,271.03,221.43,256.89,214.28,256.34,255.14,244.68,250,275.86,206.9,242.55,303.57
Rice local sold looseJIGAWA,137.11,155.41,164.31,286.35,215.54,245.96,293.12,294.98,253.86,241.93,343.9,380.59,256.8,306.22,305.55,283.77,285.03,296.85,291.7,264.58,265.59,224.58,216.49,194.75,219.32,228.94,244.82,238.51,241.44,255.14,285.56,267.58,235.93,255.14,253.15,267.5,310.58,297.84,293.68,291.88,273.24,244.88,238.98,211.22,251.23,286.35,263.47,236.57,241.73,286.55,259.13,338.42
Rice Medium GrainedJIGAWA,187.9,188.11,188.31,188.52,188.73,188.94,250.88,251.27,283.16,291.04,291.25,291.46,292.53,300.67,280.89,275,281.11,278.06,279.58,344.19,345.11,325.11,325.11,333.33,324.14,324.14,234.48,241.38,247.38,241.38,266.11,291.67,278.6,241.38,241.38,251,263.55,271.25,274.02,285.01,282.01,290.23,301.26,291.06,303.25,360,322,300,301.38,281.38,294.11,310.34
"Rice,imported high quality sold looseJIGAWA",239.65,261.28,261.81,369.32,287.09,379.05,339.45,353.85,350.61,363.73,372.36,396.01,384.38,395.49,428.39,333.54,362.73,374.1,371.02,381.45,390.56,368.92,368.92,306.08,353.96,312.5,313.19,310.13,317.59,348.88,324.25,330.43,313.99,348.88,348.35,370.02,320.46,360.34,356.76,350.16,368.05,357.92,358.05,318.71,322.35,324.91,356.31,394.7,394.86,351.08,383.42,430.89
Sweet potatoJIGAWA,93.66,95.51,95.29,95.21,99.35,98.81,99.05,97.22,99.01,99.85,97.23,99.61,93.69,98.56,98.13,97.94,99.47,93.21,92.66,92.41,91.85,78.63,73.07,61.65,75.94,113,93,106.13,115.21,134.05,121.22,126.71,129.42,150.92,134.01,107.74,98.31,113.12,136.97,96.88,100,96.88,86.88,91.81,101.82,104.97,79.04,70.08,75.23,61.14,68.94,87.12
Tilapia fish (epiya) freshJIGAWA,882.31,827.78,831.37,834.66,873.15,879.46,854.73,880.52,898.45,898.24,853.01,855.74,858.07,908.1,868.53,837.18,897.35,899.82,880.89,875.53,796.82,926.51,853.46,694.27,748.97,806.67,673.38,700,789.61,800.88,815.45,867.6,908.89,900.88,875.81,809.89,816.67,835.61,853.92,864.1,856.41,789.98,759.98,798.54,771.27,770,777.71,761.39,741.43,780,716.67,756.44
Titus:frozenJIGAWA,700,700,705,700,700,701.47,706.67,708.24,705.29,708.33,707.22,709.1,709.07,710.83,800,800,798.22,788.68,805.56,805.35,750,750,750,759.27,872.22,900,700,700,683.33,700,683.33,696.67,689.97,700,700,750,700,850,854.55,865,825.88,825,825.92,862.5,902.5,900.56,900,900,903.48,850,800,870
TomatoJIGAWA,126.6,196.15,204.31,135.65,107.54,171.33,217.79,204.64,228.37,169.24,159.13,201.92,204.17,212.03,217.99,251.47,271.14,284.12,315.09,279.7,222.05,210.91,206.04,178.3,188.84,178,202.15,183.14,208.3,234.58,270.43,282.26,276.11,234.58,254.09,175.68,205.96,201.02,186.14,242.18,198.84,142.18,122.18,153.35,193.36,200.99,239.13,274.07,272.83,260.13,229.7,249.12
"Vegetable oil:1 bottle,specify bottleJIGAWA",283.83,302.22,318.63,325.33,366.11,395.38,381.11,401.66,411.12,441.6,502.21,526.49,492.44,502.22,515,524.93,457.69,547.56,550.3,559.16,484.42,548.38,484.07,472,480.56,463.11,466.67,488,467.56,491.43,450,473.85,480,491.43,491.43,430.3,430.3,429.63,435.11,416.87,397.06,412,416.56,448.88,431.52,471.43,466.67,504.62,450.48,511.11,452.22,524.76
Wheat flour: prepacked (golden penny 2kg)JIGAWA,536.25,526.66,522.5,569.16,565,555,510,531.66,518.49,515.88,513.33,597.5,606.46,553.33,568.33,633.33,647.05,630,650,600,650.33,630.79,630.79,550,550,625,600,623.33,630,650,700,713.33,700,701.32,715,731,749.3,700,700,716.67,710.67,716.67,700.67,700,700.18,700.33,700,725,728.03,725,726.01,735.15
Yam tuberJIGAWA,122.19,194.38,119.99,249.59,149.85,205.8,169.67,166.54,199.26,164.92,159.99,141.21,175.19,145.37,190.51,195.09,204.15,210.83,245.54,266.1,223.53,216.1,196.77,173.82,158.26,144.88,146.36,198.2,203.55,255.88,234.11,262.38,278.33,252.02,274.16,192.89,218.84,204.67,200.15,242.41,251.99,220.12,185.8,205.55,195.85,179.37,215.91,236.37,204.2,126.82,158.68,223.36
Agric eggs medium size BAYELSA,359,352.67,365,449,529.58,491.46,450.83,478.21,480.17,587.84,445.24,461.67,564.82,565.21,562.5,536.36,560.55,556.67,560.77,543.23,552.67,542.55,468,494.29,437.69,587.86,584.62,650,648.67,605,560,530,502.86,519.29,528.13,523.33,526.25,525.29,556.25,530.52,510.77,503.33,474,481.25,445,446.88,430,430.58,433.33,430.14,441.43,538.13
Agric eggs(medium size price of one)BAYELSA,39,35.86,35.33,43,40.42,39.72,37.78,39.29,39.45,47.46,42.14,45.21,50.86,47.13,47.67,46.25,47.86,47.33,50,48.57,49.19,48,40,45.23,40,47.86,46.92,50,49.33,46.21,48.18,48.13,44.23,48.67,48.75,48,48.75,49.44,40,46.33,45.87,40,31.88,40.88,40.75,40.8,40.33,40.26,40.86,40,40,44.75
"Beans brown,sold looseBAYELSA",364.87,366.76,353.15,367.94,298.1,348.3,318.85,276.51,277.64,440.5,414.9,482.88,402.91,408.8,420.44,405.88,418.95,401.98,397.17,403.34,416.78,413.44,388.15,371.04,401.35,454.32,474.78,418.2,445.99,420.11,447.38,430.36,430.28,433.21,448,433.82,425.47,409.04,415.47,432.09,420.51,440.89,440.53,394.29,394.54,362.34,400.05,405.56,400.11,421.04,455.87,455.92
Beans:white black eye. sold looseBAYELSA,316.7,342.56,345.32,346.04,309.62,299.18,347.85,259.06,260.12,413.76,398.7,383.86,378.72,341.02,407.5,380.77,381.46,380.83,369.93,402.63,399.21,388.53,377.79,372.34,384.12,426.71,441.66,405,412.32,405.12,418.96,406.23,410.77,413.53,421.67,417.86,400.57,414.12,408.57,409.07,397.5,411.03,403.19,395.96,394.85,351.76,357.54,358.83,354.74,378.05,405.28,410.86
Beef Bone inBAYELSA,1036.67,823.08,878.1,1188.96,1033.15,952.65,1029.76,1176.36,1181.18,1089.55,832.57,1168.36,1065.14,1180.33,1037.96,1070.71,1229.77,1267.22,1443.39,1390.43,1251.82,1271.33,1290.76,1288.34,1223.07,1250.46,1259.31,1240.59,1203.52,1241.09,1239.59,1279.19,1137.53,1093.75,1082.1,1036.08,1040.38,1050.06,1140.38,1178.32,1198.43,1223,1255.69,1220.93,1236.31,1195.53,1206.55,1234.11,1273.08,1276.68,1218.99,1309.96
"Beef,bonelessBAYELSA",1040.74,1171.57,1009.5,1103.57,1097.57,900.9,1148.86,998.16,921.43,1178.12,1171.9,1392.21,1382.28,1696.43,1556.2,1487.32,1495.95,1544.31,1675.7,1478.51,1481.36,1540.52,1405,1360.33,1409.05,1480.05,1520.87,1535.91,1493.18,1463.35,1431.88,1455.69,1482.28,1434.31,1353.13,1395.48,1407.93,1361.49,1317.93,1360.11,1339.04,1375.77,1396.95,1385.29,1352.59,1398.53,1415.02,1404.21,1431.71,1447.58,1487.39,1507.74
Bread sliced 500gBAYELSA,321.67,310,355.83,402,425,410.42,361.11,380.83,382.39,402.9,339.58,407.5,374.85,329.17,350,300,350,410,417.5,450,396.43,387.14,386.36,364.29,400.91,438.46,420,435.71,410.83,398.44,407.5,414.55,408.33,407.27,440,421.44,420.85,425,453.85,438.46,454.17,450,426.67,434.61,434.62,404.17,441.67,427.27,429.17,431.82,400,446.15
Bread unsliced 500gBAYELSA,295.83,304.17,250,350,280.25,316.67,316.67,391.67,393.27,399.33,350.89,367.5,363.48,327.22,335,345.83,353.85,340,350.77,439.29,408.75,406.71,406.71,405.38,405,425,436.36,439.29,445.83,427.14,412.5,413.64,422.73,428.46,460,419.23,411.54,416.43,411.54,426.92,440.91,425,423.53,436.66,400,412.5,441.67,398.45,400,400,409.09,425
Broken Rice (Ofada)BAYELSA,386.78,388.37,389.96,391.56,393.16,394.77,396.39,398.02,399.65,320.56,321.87,333.89,351.11,397.22,448.15,452.5,455,450,405.71,437.5,422.5,420,420,425,440,454.74,473.81,433.33,418.33,424.72,415.91,425.21,435,438,475,505,480,470.33,450,473.81,421.85,411.11,405,418,421.33,429.93,475,500,475.24,472.7,484.13,505.24
Catfish (obokun) freshBAYELSA,944.11,954,950,945.3,941.9,938.5,951.3,941.9,938.5,935.1,931.7,928.3,1009.4,1142.59,1144.01,1193.68,1171.89,1198.11,1155.75,1121.17,1108.83,1194.29,1108.6,1103.8,1283.94,1257.64,1235.15,1216.53,1232.2,1213.03,1200.14,1192.12,1108.96,1193.87,1218.15,1342.39,1393.77,1411.06,1393.77,1431.39,1407.5,1391.36,1298.47,1254.7,1278.34,1251.3,1298.24,1300.39,1332.25,1318.72,1258.44,1262.54
Catfish :driedBAYELSA,2143.33,2330.51,2429.24,2275.5,2228.44,2181.38,2134.32,2087.27,2040.21,2100,2159.79,2219.58,2279.37,2200,2190,2458.74,2238.33,2276.3,2148.8,2084.07,2061.14,2048.76,2037.04,2023.91,2531.78,2230.84,2137.86,2286.16,2314.86,2152.22,1982.47,1974.22,1839.45,1947.38,1967.9,1842.83,1903.2,2014,1953.2,1977.4,1961.95,1893.5,1899.75,1863.86,1883.52,1912.42,1999.28,1952.45,1977.11,1957.3,1931.06,1943.79
Catfish SmokedBAYELSA,2134.32,2140,2100,2151.35,2157.03,2162.7,2200,2174.05,2179.73,2185.41,2191.08,2196.76,2202.43,2208.11,2213.79,2219.46,2225.14,2150,2140.32,2100,2076.9,2053.09,2053.09,2044.79,1983.63,1908.73,1800.87,1705.29,1733.33,1734.55,1713.22,1727.49,1695.79,1616.75,1702.04,1783.03,1730.65,1679.29,1673.65,1694.64,1694.56,1653.87,1618.56,1655.4,1688.49,1643.66,1617.89,1585.48,1588.09,1536.59,1576.19,1623.9
Chicken FeetBAYELSA,749.21,771.98,720.08,826,710.67,1000,941.06,971.2,975.18,1065.55,846.39,988.45,1060.07,1003.18,1055.6,984.89,960.79,980,970.39,1006.17,909.26,910,915.1,915.16,959.21,933.21,922.17,942.73,992.99,931.82,947.64,960.91,896.46,867.95,875.02,846.21,847.59,831.75,907.59,1018.44,1098.12,1075.08,1039.35,1089.73,1092.33,1134.2,1236.99,1224.93,1228.71,1233.8,1224.94,1280.98
Chicken WingsBAYELSA,886.35,808.49,834.26,845.32,828.72,1000,904.66,830.8,834.2,1048.81,825.8,935.16,1060.58,1086.67,1093.74,951.39,989.32,987.13,988.22,1108.85,1108.95,1110.55,1155,1147.45,1179.05,1117.12,1170.25,1186.55,1158.26,1184.62,1194.37,1155.17,1179.61,1109.52,1122.44,1167.02,1172.34,1121.6,1207.34,1228.39,1202.42,1195.71,1156.11,1172.38,1147.95,1204.08,1212.05,1255.96,1240.66,1253.26,1275.24,1345.58
Dried Fish SardineBAYELSA,1683.39,1618.89,1669.38,1674.19,1628.13,1614.12,1662.47,1677.84,1679.47,1657.78,1665.06,1661.03,1615.29,1652.3,1657.05,1655.54,1655.25,1696.68,1663.31,1571.55,1486.69,1484.84,1365.06,1338.4,1416.8,1577.49,1423.25,1582.4,1549.96,1500,1480.93,1394.93,1366.09,1330.36,1213.08,1309.19,1317.01,1400.79,1397.01,1420.88,1405.62,1405.81,1395.06,1355.94,1389.1,1403.37,1549.99,1554.06,1497.04,1454.67,1388.79,1467.66
Evaporated tinned milk carnation 170gBAYELSA,130,125,130,145,132.5,136.67,136.67,130,130.53,143.39,145,148.32,165.38,134.17,138,140,150,163.33,135,153.33,153.35,153.33,153.33,152,157.5,156.67,156,150.56,151.43,151.53,152,148.33,143.57,146.43,148.75,147.14,146.67,148.5,146.67,150,142.22,143.33,141.67,145,142.86,141.67,138,140,150,152,150,153.33
"Evaporated tinned milk(peak), 170gBAYELSA",145,133.43,137.3,144.5,144.46,143.19,142.22,143.57,144.16,158.64,145.36,149.29,184.89,159.58,159.69,197.5,199.29,193.33,197.69,194.67,205.63,198,198,181.54,192.31,181.79,196.15,194,188,181.9,183.85,184.62,187.69,190,187,183.33,182.67,185.67,182.67,185.67,182.27,180,180.67,181.11,178.13,176.25,180.67,183.57,184.67,181.54,185,187.5
